category,image_name,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
ranking,Malignant case (420)_ruido.jpg,17,Black Top-Hat 10x10,73.4329,15.0037,-58.4293,82.0905,7.2995,decrease,-33.1784
ranking,Malignant case (420)_ruido.jpg,18,Black Top-Hat 9x9,73.4329,13.0187,-60.4142,83.7006,7.2131,decrease,-34.9803
ranking,Malignant case (420)_ruido.jpg,19,Black Top-Hat 7x7,73.4329,10.3196,-63.1134,85.6353,7.1088,decrease,-37.3024
ranking,Malignant case (420)_ruido.jpg,20,Black Top-Hat 5x5,73.4329,7.0927,-66.3403,87.8005,6.9882,decrease,-40.0045
ranking,Malignant case (420)_ruido.jpg,21,White Top-Hat 3x3,73.4329,7.9879,-65.445,89.4955,6.9632,decrease,-40.4056
ranking,Malignant case (420)_ruido.jpg,22,Black Top-Hat 3x3,73.4329,4.1457,-69.2873,90.366,6.8329,decrease,-42.7685


category,image_name,section,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
summary,Malignant case (420)_ruido.jpg,MEJOR_CONTRASTE,3,Enhanced Top-Hat 10x10,73.4329,78.1627,4.7297,1.5266,23.2876,increase,39.4824
summary,Malignant case (420)_ruido.jpg,MEJOR_BRILLO,7,CLAHE clip 3,73.4329,66.3072,-7.1257,0.0938,22.7463,decrease,34.244
summary,Malignant case (420)_ruido.jpg,MENOR_DISTORSION,5,Enhanced Top-Hat 3x3,73.4329,74.6486,1.2156,0.3429,30.6667,increase,38.6862
summary,Malignant case (420)_ruido.jpg,MEJOR_GENERAL,1,Enhanced Top-Hat 7x7,73.4329,77.3012,3.8683,0.1104,24.6346,increase,39.8271

ranking,Malignant case (421)_ruido.jpg,,,,,,,,,
ranking,Malignant case (421)_ruido.jpg,1,Enhanced Top-Hat 9x9,73.9579,78.4832,4.5252,0.5435,23.7068,increase,40.1552
ranking,Malignant case (421)_ruido.jpg,2,Enhanced Top-Hat 7x7,73.9579,77.9615,4.0036,0.1757,24.4484,increase,40.1153
ranking,Malignant case (421)_ruido.jpg,3,Enhanced Top-Hat 10x10,73.9579,78.891,4.933,1.5014,23.0714,increase,39.8484
ranking,Malignant case (421)_ruido.jpg,4,Enhanced Top-Hat 5x5,73.9579,77.0704,3.1125,0.5887,25.903,increase,39.536
ranking,Malignant case (421)_ruido.jpg,5,Enhanced Top-Hat 3x3,73.9579,75.2106,1.2526,0.3265,30.5643,increase,38.9703
ranking,Malignant case (421)_ruido.jpg,6,CLAHE clip 1.5,73.9579,70.1599,-3.798,1.492,28.4503,decrease,35.7565
ranking,Malignant case (421)_ruido.jpg,7,CLAHE clip 3,73.9579,66.9048,-7.0531,0.0841,22.9022,decrease,34.5555
ranking,Malignant case (421)_ruido.jpg,8,CLAHE clip 3.0,73.9579,66.9048,-7.0531,0.0841,22.9022,decrease,34.5555
ranking,Malignant case (421)_ruido.jpg,9,Bilateral + CLAHE + Unsharp,73.9579,67.4641,-6.4939,2.1555,23.9711,decrease,33.8528
ranking,Malignant case (421)_ruido.jpg,10,Homomorphic + CLAHE + Enhanced Top-Hat,73.9579,66.9154,-7.0426,28.721,12.5013,decrease,19.7222
ranking,Malignant case (421)_ruido.jpg,11,HE,73.9579,69.1318,-4.8262,38.2352,13.7403,decrease,16.1353
ranking,Malignant case (421)_ruido.jpg,12,Gamma + CLAHE + Multi-scale White Top-Hat,73.9579,29.5555,-44.4024,68.2429,8.6729,decrease,-18.9101
ranking,Malignant case (421)_ruido.jpg,13,White Top-Hat 10x10,73.9579,26.1464,-47.8115,80.7422,7.7475,decrease,-26.9105
ranking,Malignant case (421)_ruido.jpg,14,White Top-Hat 9x9,73.9579,24.5411,-49.4169,81.8867,7.6383,decrease,-28.2909
ranking,Malignant case (421)_ruido.jpg,15,White Top-Hat 7x7,73.9579,22.6196,-51.3383,83.5201,7.4727,decrease,-30.0766
ranking,Malignant case (421)_ruido.jpg,16,White Top-Hat 5x5,73.9579,19.0107,-54.9472,85.8799,7.2649,decrease,-33.0714
ranking,Malignant case (421)_ruido.jpg,17,Black Top-Hat 10x10,73.9579,15.4129,-58.5451,82.5723,7.2366,decrease,-33.2179
ranking,Malignant case (421)_ruido.jpg,18,Black Top-Hat 9x9,73.9579,12.9562,-61.0018,84.3693,7.1457,decrease,-35.3493
ranking,Malignant case (421)_ruido.jpg,19,Black Top-Hat 7x7,73.9579,10.6829,-63.2751,86.1897,7.0439,decrease,-37.4012
ranking,Malignant case (421)_ruido.jpg,20,Black Top-Hat 5x5,73.9579,7.5964,-66.3616,88.3275,6.9257,decrease,-40.0193
ranking,Malignant case (421)_ruido.jpg,21,White Top-Hat 3x3,73.9579,8.0377,-65.9202,90.091,6.901,decrease,-40.6816
ranking,Malignant case (421)_ruido.jpg,22,Black Top-Hat 3x3,73.9579,4.2123,-69.7456,90.9464,6.7714,decrease,-43.0285


category,image_name,section,rank,algorithm,original_std,processed_std,std_delta,ambe,psnr,contrast_effect,ranking_score
summary,Malignant case (421)_ruido.jpg,MEJOR_CONTRASTE,3,Enhanced Top-Hat 10x10,73.9579,78.891,4.933,1.5014,23.0714,increase,39.8484
summary,Malignant case (421)_ruido.jpg,MEJOR_BRILLO,7,CLAHE clip 3,73.9579,66.9048,-7.0531,0.0841,22.9022,decrease,34.5555
summary,Malignant case (421)_ruido.jpg,MENOR_DISTORSION,5,Enhanced Top-Hat 3x3,73.9579,75.2106,1.2526,0.3265,30.5643,increase,38.9703
